time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,17,7,0,0
2026-03-09 00:00:00+00:00,22,8,0,0
2026-03-10 00:00:00+00:00,6,2,0,0
2026-03-11 00:00:00+00:00,27,7,0,0
2026-03-12 00:00:00+00:00,8,2,0,0
2026-03-13 00:00:00+00:00,16,6,0,0
2026-03-14 00:00:00+00:00,16,5,0,0
2026-03-15 00:00:00+00:00,11,4,0,0
2026-03-16 00:00:00+00:00,15,4,0,0
2026-03-17 00:00:00+00:00,11,3,0,0
2026-03-18 00:00:00+00:00,23,5,0,0
2026-03-19 00:00:00+00:00,24,5,2,1
2026-03-20 00:00:00+00:00,8,4,0,0
2026-03-21 00:00:00+00:00,21,5,0,0
