time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,33,9,0,0
2026-04-28 00:00:00+00:00,21,6,0,0
2026-04-29 00:00:00+00:00,36,9,0,0
2026-04-30 00:00:00+00:00,41,12,0,0
2026-05-01 00:00:00+00:00,57,14,0,0
2026-05-02 00:00:00+00:00,54,14,0,0
2026-05-03 00:00:00+00:00,40,13,0,0
2026-05-04 00:00:00+00:00,29,8,0,0
2026-05-05 00:00:00+00:00,36,9,0,0
2026-05-06 00:00:00+00:00,19,4,0,0
2026-05-07 00:00:00+00:00,37,12,0,0
2026-05-08 00:00:00+00:00,27,11,0,0
2026-05-09 00:00:00+00:00,16,7,0,0
2026-05-10 00:00:00+00:00,19,6,0,0
