time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-21 00:00:00+00:00,7,3,0,0
2026-02-22 00:00:00+00:00,24,10,0,0
2026-02-23 00:00:00+00:00,16,6,0,0
2026-02-24 00:00:00+00:00,12,4,1,1
2026-02-25 00:00:00+00:00,16,4,1,1
2026-02-26 00:00:00+00:00,9,3,0,0
2026-02-27 00:00:00+00:00,19,9,1,1
2026-02-28 00:00:00+00:00,20,6,0,0
2026-03-01 00:00:00+00:00,16,6,0,0
2026-03-02 00:00:00+00:00,18,8,0,0
2026-03-03 00:00:00+00:00,14,4,0,0
2026-03-04 00:00:00+00:00,16,6,0,0
2026-03-05 00:00:00+00:00,15,5,0,0
2026-03-06 00:00:00+00:00,17,7,0,0
